Year,League,Rank,Team,All-Games,Win,Lose,Draw,Win-Prob,Batting-Average,Bats,Points,Hits,Double,Triple,HR,RBI,Steal,Protection-Ratio,Whole-Pitch,Strike-Outs,Lost-Points
1950,central,2,中日ドラゴンズ,137,89,44,4,.669,.274,4787,745,1311,229,54,144,693,179,3.73,72,558,597
1950,central,7,国鉄スワローズ,138,42,94,2,.309,.244,4626,480,1131,142,37,66,436,104,4.67,42,551,790
1950,central,5,大洋ホエールズ,140,69,68,3,.504,.273,4972,759,1356,258,35,111,694,180,4.47,60,467,761
1950,central,4,大阪タイガース,140,70,67,3,.511,.270,4960,766,1337,234,46,120,706,147,4.19,60,352,696
1950,central,8,広島カープ,138,41,96,1,.299,.243,4703,511,1145,162,37,81,463,74,5.20,59,401,877
1950,central,1,松竹ロビンス,137,98,35,4,.737,.287,4939,908,1417,179,49,179,825,223,3.23,71,438,524
1950,central,6,西日本パイレーツ,136,50,83,3,.376,.261,4731,633,1233,175,42,106,583,165,4.66,57,326,759
1950,central,3,読売ジャイアンツ,140,82,54,4,.603,.268,4831,724,1297,208,27,126,673,212,2.90,89,632,522
1951,central,2,名古屋ドラゴンズ,113,62,48,3,.564,.272,3825,526,1039,164,33,67,474,161,3.47,48,351,523
1951,central,5,国鉄スワローズ,107,46,59,2,.438,.2454,3537,389,868,111,16,36,349,142,3.96,35,498,533
1951,central,6,大洋ホエールズ,108,40,64,4,.385,.253,3727,502,943,141,17,86,451,66,4.84,38,239,620
1951,central,3,大阪タイガース,116,61,52,3,.540,.269,3980,545,1069,170,34,78,502,68,3.26,47,294,465
1951,central,7,広島カープ,99,32,64,3,.333,.2449,3393,402,831,154,28,42,362,61,4.62,43,240,555
1951,central,4,松竹ロビンス,115,53,57,5,.482,.268,4062,609,1087,147,29,105,556,120,4.41,40,307,598
1951,central,1,読売ジャイアンツ,114,79,29,6,.731,.291,3950,702,1151,191,34,92,632,192,2.62,63,436,381
1952,central,3,名古屋ドラゴンズ,120,75,43,2,.636,.264,4136,569,1093,169,28,77,525,150,2.82,51,373,430
1952,central,5,国鉄スワローズ,120,50,70,0,.417,.238,3946,410,940,121,22,67,371,154,3.38,39,546,526
1952,central,4,大洋ホエールズ,120,58,62,0,.483,.248,4134,519,1027,178,35,57,462,160,3.68,54,277,548
1952,central,2,大阪タイガース,120,79,40,1,.664,.268,4186,600,1122,182,40,61,547,104,2.77,54,339,400
1952,central,6,広島カープ,120,37,80,3,.316,.233,3963,365,925,139,24,29,333,44,3.83,35,297,573
1952,central,7,松竹ロビンス,120,34,84,2,.288,.223,4084,326,912,149,20,53,303,127,4.05,53,381,573
1952,central,1,読売ジャイアンツ,120,83,37,0,.692,.292,4175,650,1219,203,34,77,598,136,2.45,56,498,389
1953,central,3,名古屋ドラゴンズ,130,70,57,3,.551,.251,4271,524,1072,179,31,66,479,125,3.24,41,455,508
1953,central,6,国鉄スワローズ,125,45,79,1,.363,.235,4103,380,963,142,29,55,346,129,3.36,34,548,525
1953,central,5,大洋松竹ロビンス,130,52,77,1,.403,.246,4461,467,1099,161,30,63,417,109,4.10,43,482,622
1953,central,2,大阪タイガース,130,74,56,0,.569,.270,4453,607,1203,188,43,87,563,134,3.15,48,352,471
1953,central,4,広島カープ,130,53,75,2,.414,.242,4354,507,1055,184,18,73,456,174,4.00,38,343,634
1953,central,1,読売ジャイアンツ,125,87,37,1,.702,.283,4324,667,1222,221,27,80,616,114,2.48,68,488,392
1954,central,1,中日ドラゴンズ,130,86,40,4,.683,.256,4270,510,1093,177,30,70,469,132,2.32,64,639,376
1954,central,5,国鉄スワローズ,130,55,73,2,.430,.258,4344,434,1121,153,28,61,401,105,3.34,50,630,518
1954,central,6,大洋松竹ロビンス,130,32,96,2,.250,.227,4338,365,985,167,18,68,333,51,4.13,52,516,625
1954,central,3,大阪タイガース,130,71,57,2,.555,.266,4388,569,1167,168,35,68,515,205,2.78,29,370,425
1954,central,4,広島カープ,130,56,69,5,.448,.245,4239,419,1039,179,17,55,389,120,3.81,64,352,581
1954,central,2,読売ジャイアンツ,130,82,47,1,.636,.271,4438,613,1201,187,37,88,579,124,2.38,56,570,385
1955,central,2,中日ドラゴンズ,130,77,52,1,.597,.238,4281,420,1017,179,31,64,386,130,2.02,58,735,334
1955,central,5,国鉄スワローズ,130,57,71,2,.445,.228,4301,424,979,152,22,93,389,106,2.69,53,684,428
1955,central,6,大洋ホエールズ,130,31,99,0,.238,.209,4245,290,886,124,14,51,265,51,3.69,38,521,578
1955,central,3,大阪タイガース,130,71,57,2,.555,.251,4399,423,1104,155,27,51,377,138,2.49,37,654,392
1955,central,4,広島カープ,130,58,70,2,.453,.226,4330,395,979,146,25,64,361,141,3.29,56,473,508
1955,central,1,読売ジャイアンツ,130,92,37,1,.713,.266,4436,579,1179,156,38,84,540,133,1.75,61,635,291
1956,central,3,中日ドラゴンズ,130,74,56,0,.569,.228,4142,369,945,157,28,52,345,71,2.03,69,698,319
1956,central,4,国鉄スワローズ,130,61,65,4,.485,.218,4265,346,929,132,40,58,316,79,2.64,33,736,405
1956,central,6,大洋ホエールズ,130,43,87,0,.331,.208,4312,319,895,126,20,74,296,52,3.15,50,592,483
1956,central,2,大阪タイガース,130,79,50,1,.612,.224,4240,386,950,149,44,54,341,165,1.77,31,665,283
1956,central,5,広島カープ,130,45,82,3,.358,.213,4184,344,891,128,27,60,319,101,3.04,42,501,491
1956,central,1,読売ジャイアンツ,130,82,44,4,.646,.258,4426,568,1143,183,35,100,532,111,2.08,52,642,351
1957,central,3,中日ドラゴンズ,130,70,57,3,.550,.219,4219,404,925,148,23,63,373,106,2.26,54,807,347
1957,central,4,国鉄スワローズ,130,58,68,4,.462,.226,4242,418,960,139,30,83,389,144,2.74,44,688,425
1957,central,6,大洋ホエールズ,130,52,74,4,.415,.229,4248,355,973,141,27,63,327,42,3.10,48,726,486
1957,central,2,大阪タイガース,130,73,54,3,.573,.240,4261,462,1022,147,37,68,411,143,2.38,49,636,375
1957,central,5,広島カープ,130,54,75,1,.419,.214,4260,352,912,150,17,65,323,88,2.78,41,550,436
1957,central,1,読売ジャイアンツ,130,74,53,3,.581,.241,4299,471,1034,180,42,93,442,82,2.39,37,735,393
1958,central,3,中日ドラゴンズ,130,66,59,5,.527,.233,4286,423,997,170,23,86,384,155,2.40,54,745,381
1958,central,4,国鉄スワローズ,130,58,68,4,.462,.223,4266,359,953,131,43,59,317,123,3.10,38,687,478
1958,central,6,大洋ホエールズ,130,51,73,6,.415,.215,4382,357,944,144,26,78,340,57,2.75,42,793,436
1958,central,2,大阪タイガース,130,72,58,0,.554,.238,4227,444,1008,168,42,88,409,120,2.55,55,645,387
1958,central,5,広島カープ,130,54,68,8,.446,.222,4363,407,969,162,42,80,381,85,2.92,29,614,459
1958,central,1,読売ジャイアンツ,130,77,52,1,.596,.253,4285,521,1082,190,36,101,483,130,2.37,44,730,370
1959,central,3,中日ドラゴンズ,130,64,61,5,.512,.2374,4288,477,1018,163,27,106,443,131,2.77,34,724,428
1959,central,4,国鉄スワローズ,130,63,65,2,.492,.230,4292,422,987,168,44,62,388,86,3.19,43,739,491
1959,central,6,大洋ホエールズ,130,49,77,4,.392,.214,4233,352,906,140,28,73,330,81,3.47,49,742,514
1959,central,2,大阪タイガース,130,62,59,9,.512,.2369,4355,388,1032,176,40,76,360,81,2.37,49,805,362
1959,central,5,広島カープ,130,59,64,7,.481,.218,4252,401,926,164,30,71,376,82,2.62,39,707,414
1959,central,1,読売ジャイアンツ,130,77,48,5,.612,.245,4310,551,1055,137,49,117,509,119,2.54,49,723,382
1960,central,5,中日ドラゴンズ,130,63,67,0,.485,.2295,4209,436,966,161,35,87,401,160,3.08,34,688,454
1960,central,6,国鉄スワローズ,130,54,72,4,.431,.232,4315,388,1000,161,27,73,361,107,3.0854,42,756,461
1960,central,1,大洋ホエールズ,130,70,56,4,.554,.2302,4156,411,957,169,35,60,381,149,2.32,29,836,361
1960,central,3,大阪タイガース,130,64,62,4,.508,.242,4250,436,1028,179,47,87,400,115,2.62,42,717,403
1960,central,4,広島カープ,130,62,61,7,.504,.2296,4289,426,985,152,36,84,381,97,2.70,32,612,403
1960,central,2,読売ジャイアンツ,130,66,61,3,.519,.229,4218,444,967,153,34,106,416,99,3.0852,41,693,459
1961,central,2,中日ドラゴンズ,130,72,56,2,.562,.241,4251,427,1024,156,30,79,389,88,2.48,43,747,385
1961,central,3,国鉄スワローズ,130,67,60,3,.527,.2274,4304,387,979,151,23,58,363,67,2.29,49,638,361
1961,central,6,大洋ホエールズ,130,50,75,5,.404,.236,4295,418,1012,151,23,76,395,119,3.10,21,713,485
1961,central,5,広島カープ,130,58,67,5,.465,.239,4298,417,1026,174,25,74,396,49,3.11,30,602,464
1961,central,1,読売ジャイアンツ,130,71,53,6,.569,.2265,4228,435,958,165,30,89,406,78,2.50,23,675,383
1961,central,4,阪神タイガース,130,60,67,3,.473,.244,4322,405,1053,164,30,80,382,103,2.60,47,712,411
1962,central,3,中日ドラゴンズ,133,70,60,3,.538,.249,4504,469,1123,158,26,107,438,68,2.68,50,645,407
1962,central,6,国鉄スワローズ,134,51,79,4,.392,.201,4409,313,886,138,18,60,294,54,2.61,51,737,421
1962,central,2,大洋ホエールズ,134,71,59,4,.546,.242,4466,428,1079,173,18,100,401,61,2.73,26,915,438
1962,central,5,広島カープ,134,56,74,4,.431,.239,4477,436,1068,154,28,75,406,66,3.30,37,634,493
1962,central,4,読売ジャイアンツ,134,67,63,4,.515,.232,4521,452,1050,188,30,102,428,85,2.47,34,754,395
1962,central,1,阪神タイガース,133,75,55,3,.577,.223,4359,386,970,155,26,64,355,68,2.03,54,825,330
1963,central,2,中日ドラゴンズ,140,80,57,3,.584,.246,4666,529,1149,177,18,120,494,116,2.84,44,519,461
1963,central,4,国鉄スワローズ,140,65,73,2,.471,.241,4620,472,1113,168,24,95,449,101,3.15,41,727,489
1963,central,5,大洋ホエールズ,140,59,79,2,.428,.237,4532,448,1072,170,11,110,427,73,3.29,34,649,540
1963,central,6,広島カープ,140,58,80,2,.420,.253,4755,515,1205,187,20,92,487,76,3.83,38,568,604
1963,central,1,読売ジャイアンツ,140,83,55,2,.601,.247,4616,611,1140,161,31,143,568,153,2.57,52,614,432
1963,central,3,阪神タイガース,140,69,70,1,.496,.239,4614,472,1103,180,25,95,454,79,3.20,46,595,521
1964,central,6,中日ドラゴンズ,140,57,83,0,.407,.254,4749,492,1204,199,25,114,472,111,3.63,38,561,596
1964,central,5,国鉄スワローズ,140,61,74,5,.452,.2424,4694,486,1138,167,15,117,456,101,3.43,45,676,545
1964,central,2,大洋ホエールズ,140,80,58,2,.580,.255,4718,556,1204,197,16,134,535,71,3.03,36,690,496
1964,central,4,広島カープ,140,64,73,3,.467,.2420,4676,465,1132,159,20,98,452,116,3.30,37,580,508
1964,central,3,読売ジャイアンツ,140,71,69,0,.507,.235,4576,560,1077,161,22,147,538,128,3.01,48,614,472
1964,central,1,阪神タイガース,140,80,56,4,.588,.240,4579,492,1101,174,19,114,467,97,2.75,60,663,434
1965,central,6,サンケイスワローズ,140,44,91,5,.326,.221,4571,332,1010,139,20,64,316,53,3.42,29,590,533
1965,central,2,中日ドラゴンズ,140,77,59,4,.566,.247,4682,510,1158,161,31,100,478,130,2.60,32,702,431
1965,central,4,大洋ホエールズ,140,68,70,2,.493,.244,4612,518,1127,186,17,136,494,85,2.81,29,729,470
1965,central,5,広島カープ,140,59,77,4,.434,.230,4586,394,1057,142,21,72,363,85,2.84,22,610,451
1965,central,1,読売ジャイアンツ,140,91,47,2,.659,.246,4598,536,1133,143,24,106,504,109,2.54,34,719,404
1965,central,3,阪神タイガース,140,71,66,3,.518,.220,4488,393,989,168,25,94,376,86,2.47,60,669,394
1966,central,6,サンケイアトムズ,135,52,78,5,.400,.214,4359,364,935,132,31,86,339,52,3.16,35,549,475
1966,central,2,中日ドラゴンズ,132,76,54,2,.585,.253,4435,521,1124,177,26,123,497,80,2.54,36,639,400
